Polling firm,Last date of polling[1],Link,Stephen Harper,Thomas Mulcair,Justin Trudeau,Elizabeth May,Margin of error[1]
Polling firm,Last date of polling[1],Link,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Margin of error[1]
Forum Research,"December 13, 2013",[232],27.0,17.0,29.0,6,±2 pp
Nanos Research,"December 13, 2013",[514],28.0,18.0,27.0,6,±3.1 pp
Nanos Research,"December 6, 2013",[515],27.0,20.0,26.0,6,±3.1 pp
Nanos Research,"November 29, 2013",[516],27.0,20.0,26.0,5,±3.1 pp
Nanos Research,"November 22, 2013",[517],29.0,20.0,27.0,5,±3.1 pp
Nanos Research,"November 15, 2013",[518],27.0,19.0,29.0,5,±3.1 pp
Forum Research,"November 13, 2013",[235],25.0,17.0,27.0,7,±2 pp
Nanos Research,"November 8, 2013",[519],29.0,17.0,31.0,4,±3.1 pp
Nanos Research,"November 1, 2013",[520],30.0,16.0,32.0,4,±3.1 pp
Nanos Research,"October 25, 2013",[521],30.0,16.0,32.0,5,±3.1 pp
Forum Research,"October 23, 2013",[238],25.0,15.0,31.0,9,±3 pp
Forum Research,"October 22, 2013",[522],25.0,13.0,29.0,7,±3 pp
Abacus Data,"October 22, 2013",[240],24.0,12.0,26.0,4,±2.6 pp
Nanos Research,"October 18, 2013",[523],31.0,16.0,32.0,5,±3.1 pp
Nanos Research,"October 11, 2013",[524],30.0,16.0,33.0,5,±3.1 pp
Nanos Research,"October 4, 2013",[525],29.0,15.0,31.0,5,±3.1 pp
Forum Research,"September 17, 2013",[245],27.0,15.0,30.0,6,±3 pp
Harris-Decima,"August 25, 2013",[526],29.0,14.0,33.0,–,±3.1 pp
Forum Research,"August 23, 2013",[249],24.0,16.0,32.0,9,±3 pp
Leger Marketing,"June 19, 2013",[527],23.0,14.0,27.0,6,±2.5 pp
Harris-Decima,"April 21, 2013",[528],31.0,18.0,33.0,–,±3.1 pp
