Date(s) conducted,Pollster,Client,Sample size,Lab,Con,LD,UKIP,SNP,Grn,BNP,Others,Lead
Date(s) conducted,Pollster,Client,Sample size,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,Unnamed: 8_level_1,Unnamed: 9_level_1,Unnamed: 10_level_1,Others,Lead
20–22 Feb,ICM[242],The Guardian,1004,30%,42%,18%,2%,3%,1%,–,5% PC on 2% Other on 3%,12
13–15 Feb,Ipsos MORI[243],,1001,28%,48%,17%,1%,2%[a],1%,–,3%,20
12–13 Feb,YouGov[244],The Sunday Times,1711,32%,44%,14%,–,–,–,–,10%,12
11–12 Feb,ComRes[245],The Independent on Sunday,1002,25%,41%,22%,–,–,–,–,12%,16
6–8 Feb,Populus[246],The Times,1504,28%,42%,18%,2%,4%,2%,2%,2% PC on 1% Other on 1%,14
4–5 Feb,ICM[247],The Sunday Telegraph,1010,28%,40%,22%,1%,3%,2%,–,4% PC on 2% Other on 2%,12
27–29 Jan,YouGov[248],The Daily Telegraph,2338,32%,43%,16%,–,–,–,–,10%,11
23–25 Jan,ICM[249],The Guardian,1003,32%,44%,16%,1%,3%,2%,–,3% PC on 1% Other on 2%,12
21–22 Jan,ComRes[250],The Independent,1012,28%,43%,16%,–,–,–,–,13%,15
16–18 Jan,Ipsos MORI[251],,1005,30%,44%,17%,1%,4%[a],2%,–,2%,14
15–16 Jan,YouGov[252],The Sunday Times,2077,32%,45%,14%,–,–,–,–,9%,13
14–15 Jan,ComRes[253],The Independent on Sunday,1009,32%,41%,15%,–,–,–,–,12%,9
9–11 Jan,Populus[254],The Times,1500,33%,43%,15%,1%,3%,3%,2%,1% PC on 1% Other on 1%,10
7–8 Jan,YouGov[255],The Sun,1835,34%,41%,15%,–,–,–,–,10%,7
