Date(s) conducted,Polling organisation/client,Sample size,Con,Lab,LD,UKIP,Grn,Others,Lead
13–14 Mar,YouGov/The Sun,1738,38%,41%,9%,5%,3%,4% BNP on 1%,3
12–13 Mar,YouGov/The Sun,1747,36%,43%,9%,5%,2%,5% BNP on 1%,7
11–12 Mar,YouGov/The Sun,1801,36%,41%,9%,6%,2%,6% BNP on 1%,5
9–12 Mar,Opinium,1955,38%,36%,10%,7%,3%,6%,2
8–9 Mar,YouGov/The Sunday Times,1707,37%,42%,9%,5%,2%,5%,5
7–8 Mar,YouGov/The Sun,1730,37%,42%,8%,4%,3%,5% BNP on 1%,5
6–7 Mar,Angus Reid Public Opinion,2018,32%,40%,10%,7%,2%,9%,8
6–7 Mar,YouGov/The Sun,1723,38%,41%,9%,6%,2%,4% BNP on 1%,3
5–6 Mar,YouGov/The Sun,1736,37%,41%,9%,6%,3%,4% BNP on 1%,4
4–5 Mar,YouGov/The Sun,1729,36%,41%,11%,5%,3%,5% BNP on 1%,5
2–5 Mar,TNS-BMRB[permanent dead link],1198,35%,38%,11%,8%,8%,8%,3
1–2 Mar,YouGov/The Sunday Times,1664,40%,39%,9%,5%,2%,5%,1
29 Feb – 1 Mar,YouGov/The Sun,1787,39%,39%,8%,5%,3%,6% BNP on 1%,Tie
28–29 Feb,YouGov/The Sun,1778,38%,40%,9%,5%,2%,6% BNP on 1%,2
27–28 Feb,YouGov/The Sun,1729,40%,39%,9%,5%,2%,5% BNP on 1%,1
26–27 Feb,YouGov/The Sun,1741,38%,40%,9%,6%,2%,5% BNP on 1%,2
25–27 Feb,Ipsos MORI/Reuters,1002,35%,41%,12%,2%,4%,6%,6
24–26 Feb,ComRes/The Independent[permanent dead link],1001,37%,40%,13%,3%,3%,4%,3
23–24 Feb,YouGov/The Sunday Times,1697,38%,40%,10%,5%,2%,5%,2
22–23 Feb,YouGov/The Sun,1690,39%,38%,10%,4%,3%,7% BNP on 2%,1
21–23 Feb,Opinium,1959,35%,39%,10%,6%,5%,6%,4
21–22 Feb,YouGov/The Sun,1731,38%,40%,8%,5%,3%,7% BNP on 1%,2
20–21 Feb,YouGov/The Sun,1715,37%,41%,9%,5%,2%,6% BNP on 2%,4
19–20 Feb,YouGov/The Sun,1764,39%,38%,10%,5%,2%,6% BNP on 1%,1
17–19 Feb,ICM/The Guardian[dead link][dead link][dead link][permanent dead link][permanent dead link][permanent dead link][permanent dead link][permanent dead link][permanent dead link][9],1013,36%,37%,14%,3%,3%,7%,1
16–17 Feb,YouGov/The Sunday Times,1772,37%,41%,7%,6%,3%,6%,4
15–16 Feb,ComRes/The Independent on Sunday/Sunday Mirror[permanent dead link],2014,39%,38%,10%,5%,3%,5%,1
15–16 Feb,YouGov/The Sun,1738,39%,39%,9%,5%,3%,5% BNP on 1%,Tie
14–15 Feb,YouGov/The Sun,1828,39%,40%,9%,5%,2%,5% BNP on 1%,1
13–14 Feb,YouGov/The Sun,1725,40%,39%,9%,5%,3%,5% BNP on 1%,1
12–13 Feb,YouGov/The Sun,1772,38%,42%,9%,4%,2%,5% BNP on 1%,4
10–13 Feb,Opinium,1960,36%,36%,10%,7%,4%,7%,Tie
9–10 Feb,YouGov/The Sunday Times,1753,38%,39%,9%,4%,4%,6%,1
8–9 Feb,YouGov/The Sun,1644,38%,41%,9%,4%,2%,5% BNP on 1%,3
7–8 Feb,YouGov/The Sun,1763,40%,38%,10%,4%,3%,5% BNP on 1%,2
6–7 Feb,YouGov/The Sun,1651,37%,42%,9%,5%,2%,6% BNP on 1%,5
5–6 Feb,YouGov/The Sun,1697,41%,40%,8%,5%,1%,5% BNP on 1%,1
2–3 Feb,YouGov/The Sunday Times,1659,39%,40%,9%,5%,3%,4%,1
1–2 Feb,YouGov/The Sun,1654,39%,41%,8%,5%,2%,5% BNP on 1%,2
31 Jan – 1 Feb,YouGov/The Sun,1701,38%,40%,8%,5%,3%,5% BNP on 1%,2
30–31 Jan,YouGov/The Sun,1722,39%,40%,9%,4%,2%,6% BNP on 1%,1
29–30 Jan,YouGov/The Sun,1977,40%,38%,10%,5%,2%,5% BNP on 1%,2
27–30 Jan,Opinium,1958,38%,36%,8%,6%,4%,8%,2
27–29 Jan,ComRes/The Independent[permanent dead link],1001,37%,38%,14%,3%,2%,6%,1
26–27 Jan,YouGov/The Sunday Times,1716,39%,40%,8%,5%,2%,5%,1
24–25 Jan,YouGov/The Sun,1715,38%,40%,9%,6%,3%,4% BNP on 1%,2
23–24 Jan,YouGov/The Sun,1693,40%,38%,9%,5%,2%,6% BNP on 1%,2
22–23 Jan,Angus Reid Public Opinion,2009,35%,37%,11%,6%,3%,7%,2
22–23 Jan,YouGov/The Sun,1766,39%,40%,8%,6%,2%,4% BNP on 1%,1
21–23 Jan,Ipsos MORI/Reuters,1007,38%,38%,12%,3%,4%,5%,Tie
20–23 Jan,TNS-BMRB[permanent dead link],1300,37%,40%,10%,2%,11%,11%,3
20–22 Jan,Populus/The Times[10],1503,37%,38%,13%,2%,2%,8%,1
20–22 Jan,ICM/The Guardian[dead link][dead link][dead link][permanent dead link][permanent dead link][permanent dead link][permanent dead link][permanent dead link][permanent dead link][9],1003,40%,35%,16%,2%,2%,5%,5
19–20 Jan,YouGov/The Sunday Times,1711,41%,36%,9%,5%,3%,6%,5
18–19 Jan,ComRes/Independent on Sunday[permanent dead link],2050,38%,38%,11%,5%,3%,4%,Tie
18–19 Jan,YouGov/The Sun,1752,41%,38%,8%,6%,2%,5% BNP on 1%,3
17–18 Jan,YouGov/The Sun,1699,40%,39%,7%,5%,2%,6% BNP on 1%,1
15–17 Jan,YouGov/The Sun,1707,39%,40%,8%,4%,2%,6% BNP on 1%,1
15–16 Jan,YouGov/The Sun,1726,40%,40%,9%,5%,2%,4% BNP on 1%,Tie
13–15 Jan,Opinium,1983,37%,37%,9%,6%,4%,8%,Tie
12–13 Jan,YouGov/The Sunday Times,1761,38%,40%,9%,5%,2%,7%,2
11–12 Jan,YouGov/The Sun,1761,41%,40%,8%,4%,2%,4% BNP on 1%,1
10–11 Jan,YouGov/The Sun,1709,40%,38%,10%,4%,2%,6% BNP on 1%,2
9–10 Jan,YouGov/The Sun,1767,40%,40%,10%,4%,2%,4% BNP on 1%,Tie
8–9 Jan,YouGov/The Sun,1727,39%,41%,10%,3%,2%,5% BNP on 0%,2
5–6 Jan,YouGov/The Sunday Times,1715,38%,40%,10%,5%,2%,5%,2
4–5 Jan,YouGov/The Sun,1766,39%,41%,11%,3%,2%,4% BNP on 1%,2
3–5 Jan,Opinium,1963,36%,37%,9%,7%,4%,7%,1
3–4 Jan,YouGov/The Sun,1772,38%,42%,10%,5%,2%,4% BNP on 1%,4
2–3 Jan,YouGov/The Sun,1762,39%,41%,9%,4%,2%,6% BNP on 1%,2
