Date,Firm,Primary vote,Primary vote,Primary vote,Primary vote,TPP vote,TPP vote,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0
Unnamed: 0_level_1,Unnamed: 1_level_1,L/NP*,Labor,Green,Other,Labor,L/NP,Unnamed: 8_level_1,Unnamed: 9_level_1,Unnamed: 10_level_1,Unnamed: 11_level_1,Unnamed: 12_level_1
,,,,,,,,,,,,
11–12/18–19 Feb 2012,Morgan (face),41.5%,37%,14.5%,7%,51.5%,48.5%,,,,,
10–12 Feb 2012,Newspoll,46%,32%,11%,11%,45%,55%,,,,,
8–10 Feb 2012,Essential[e 79],47%,34%,10%,9%,46%,54%,,,,,
7–8 Feb 2012,Morgan (phone),41.5%,37%,14.5%,7%,44.5%,55.5%,,,,,
4–5 Feb 2012,Morgan (face),45.5%,38.5%,9.5%,6.5%,48.5%,51.5%,,,,,
1–5 Feb 2012,Essential[e 80],47%,33%,11%,9%,46%,54%,,,,,
2–4 Feb 2012,Nielsen[39],45%,33%,13%,9%,47%,53%,,,,,
28–29 Jan 2012,Morgan (face),41.5%,39.5%,9.5%,6.5%,51%,49%,,,,,
27–29 Jan 2012,Newspoll,45%,30%,12%,13%,46%,54%,,,,,
25–29 Jan 2012,Essential[e 81],47%,34%,10%,8%,46%,54%,,,,,
27–28 Jan 2012,Galaxy[38],48%,34%,12%,6%,46%,54%,,,,,
18–22 Jan 2012,Essential[e 82],48%,35%,10%,7%,46%,54%,,,,,
14–15/21–22 Jan 2012,Morgan (face),42.5%,38.5%,12%,7%,51%,49%,,,,,
17–18 Jan 2012,Morgan (phone),46.5%,35.5%,9%,9%,46.5%,53.5%,,,,,
11–15 Jan 2012,Essential[e 83],48%,35%,9%,8%,46%,54%,,,,,
7–8 Jan 2012,Morgan (face),45%,37%,10.5%,7.5%,48.5%,51.5%,,,,,
14–18 Dec 2011,Essential[e 84],47%,35%,9%,8%,46%,54%,,,,,
10–11/17–18 Dec 2011,Morgan (face),43%,36.5%,13%,7.5%,50%,50%,,,,,
7–11 Dec 2011,Essential[e 85],48%,34%,10%,9%,45%,55%,,,,,
8–10 Dec 2011,Nielsen[39],49%,29%,11%,11%,43%,57%,,,,,
2–4 Dec 2011,Newspoll,44%,31%,13%,12%,46%,54%,,,,,
30 Nov–4 Dec 2011,Essential[e 86],47%,34%,10%,9%,46%,54%,,,,,
26–27 Nov/3–4 Dec 2011,Morgan (face),43%,36.5%,13%,7.5%,47%,53%,,,,,
23–27 Nov 2011,Essential[e 87],47%,34%,11%,8%,46%,54%,,,,,
19–20 Nov 2011,Morgan (face),45.5%,36.5%,12%,6%,48.5%,51.5%,,,,,
18–20 Nov 2011,Newspoll,48%,30%,10%,12%,43%,57%,,,,,
16–20 Nov 2011,Essential[e 88],48%,34%,10%,7%,45%,55%,,,,,
9–13 Nov 2011,Essential[e 89],47%,35%,10%,8%,46%,54%,,,,,
5–6/12–13 Nov 2011,Morgan (face),47%,34.5%,11.5%,7%,46.5%,53.5%,,,,,
10–12 Nov 2011,Nielsen[40],45%,30%,14%,12%,45%,55%,,,,,
3–6 Nov 2011,Newspoll,44%,32%,12%,12%,47%,53%,,,,,
2–6 Nov 2011,Essential[e 90],46%,35%,9%,9%,46%,54%,,,,,
2–3 Nov 2011,Morgan (phone),45%,34%,12.5%,8.5%,47.5%,52.5%,,,,,
26–30 Oct 2011,Essential[e 91],47%,34%,10%,9%,45%,55%,,,,,
29–30 Oct 2011,Morgan (face),46.5%,34%,13.5%,6%,47%,53%,,,,,
25–26 Oct 2011,Morgan (phone),47%,31%,12.5%,9.6%,45%,55%,,,,,
22–23 Oct 2011,Morgan (face),49.5%,35%,10.5%,5%,45.5%,54.5%,,,,,
21–23 Oct 2011,Newspoll,45%,29%,15%,11%,46%,54%,,,,,
19–23 Oct 2011,Essential[e 92],48%,32%,11%,8%,45%,55%,,,,,
15–16 Oct 2011,Morgan (face),44%,36.5%,10%,9.5%,48.5%,51.5%,,,,,
14–16 Oct 2011,Galaxy[38],51%,29%,12%,8%,42%,58%,,,,,
12–16 Oct 2011,Essential[e 93],48%,33%,11%,8%,45%,55%,,,,,
13–15 Oct 2011,Nielsen[40],48%,30%,12%,10%,43%,57%,,,,,
8–9 Oct 2011,Morgan (face),43.5%,38.5%,11%,7%,50%,50%,,,,,
7–9 Oct 2011,Newspoll,49%,29%,12%,10%,43%,57%,,,,,
4–9 Oct 2011,Essential[e 94],48%,33%,10%,9%,45%,55%,,,,,
27 Sep–2 Oct 2011,Essential[e 95],48%,33%,11%,9%,45%,55%,,,,,
24–25 Sep/1–2 Oct 2011,Morgan (face),46.5%,35.5%,10%,8%,46.5%,53.5%,,,,,
20–25 Sep 2011,Essential[e 96],49%,32%,12%,8%,44%,56%,,,,,
