Dates conducted,Pollster,Client,Area,Sample size,Con,Lab,LD,SNP,Grn,Ref,PC,Others,Lead
23–26 May,Opinium,The Observer,GB,2062,28%,43%,9%,3%,7%,6%,1%,3%,15
24–25 May,Techne,,UK,1625,30%,44%,11%,3%,5%,4%,–,3%,14
19–22 May,Deltapoll[permanent dead link],,GB,1575,30%,47%,9%,4%,4%,4%,–,1% UKIP on 1% Other on 0%,17
18–22 May,Kantar Public Archived 15 August 2023 at the Wayback Machine,,GB,1143,29%,42%,11%,4%,5%,5%,–,4% UKIP on 1% Other on 3%,13
21 May,Redfield & Wilton,,GB,2000,30%,42%,13%,4%,4%,5%,–,2%,12
19–21 May,Savanta,,UK,2043,30%,46%,9%,3%,3%,5%,–,4%,16
18 May,Local elections in Northern Ireland[10],Local elections in Northern Ireland[10],Local elections in Northern Ireland[10],Local elections in Northern Ireland[10],Local elections in Northern Ireland[10],Local elections in Northern Ireland[10],Local elections in Northern Ireland[10],Local elections in Northern Ireland[10],Local elections in Northern Ireland[10],Local elections in Northern Ireland[10],Local elections in Northern Ireland[10],Local elections in Northern Ireland[10],Local elections in Northern Ireland[10]
17–18 May,YouGov,The Times,GB,2006,25%,43%,12%,3%,8%,6%,1%,2%,18
17–18 May,Omnisis,,GB,1389,25%,47%,10%,3%,5%,6%,0%,2% Other on 1% Independent on 1%,22
17–18 May,Techne Archived 8 June 2023 at the Wayback Machine,,UK,1633,29%,45%,10%,3%,4%,5%,–,3%,16
10–16 May,Ipsos,Evening Standard,GB,1006,28%,44%,13%,4%,6%,2%,–,4%,16
12–15 May,More in Common Archived 24 May 2023 at the Wayback Machine,,GB,2017,31%,42%,13%,3%,5%,5%,–,2%,11
12–15 May,Deltapoll,,GB,1511,29%,45%,12%,3%,4%,5%,0%,3% UKIP on 2% Other on 1%,16
14 May,Redfield & Wilton,,GB,2000,28%,42%,11%,4%,5%,8%,–,2%,14
12–14 May,Savanta,,UK,2214,29%,46%,9%,3%,3%,5%,–,4%,17
11–12 May,Omnisis,,GB,1355,24%,51%,10%,3%,4%,6%,1%,3% Other on 2% Independent on 1%,27
10–12 May,Opinium,The Observer,,2050,29%,43%,11%,3%,5%,6%,0%,3%,14
10–11 May,Techne Archived 12 May 2023 at the Wayback Machine,,UK,1625,28%,45%,11%,3%,5%,5%,–,3%,17
9–10 May,YouGov,The Times,GB,2001,25%,43%,11%,3%,8%,7%,1%,2% UKIP on 1% Other on 1%,18
5–9 May,Deltapoll,,GB,1550,28%,47%,9%,3%,5%,5%,1%,3% UKIP on 1% Other on 1%,19
7 May,Redfield & Wilton,,GB,2000,29%,41%,16%,3%,4%,5%,–,1%,12
5–7 May,Savanta,,UK,2168,30%,46%,9%,4%,3%,5%,–,4%,16
4–5 May,Omnisis Archived 14 January 2025 at the Wayback Machine,,GB,1355,27%,48%,7%,4%,6%,6%,0%,1%,21
4 May,Local elections in England[11],Local elections in England[11],Local elections in England[11],Local elections in England[11],Local elections in England[11],Local elections in England[11],Local elections in England[11],Local elections in England[11],Local elections in England[11],Local elections in England[11],Local elections in England[11],Local elections in England[11],Local elections in England[11]
3–4 May,BMG,The i,GB,1534,29%,43%,11%,3%,6%,5%,1%,2%,14
3–4 May,YouGov,The Times,GB,2012,26%,43%,10%,4%,7%,6%,1%,3%,17
2–3 May,Techne,,UK,1632,29%,44%,11%,3%,5%,6%,–,3%,15
28 Apr – 2 May,Deltapoll,,GB,1561,29%,44%,11%,4%,4%,4%,1%,3% UKIP on 2% Other on 1%,15
30 Apr,Redfield & Wilton,,GB,2000,28%,45%,12%,2%,4%,7%,–,1%,17
28–30 Apr,Savanta,,UK,2241,31%,44%,9%,4%,3%,5%,–,4%,13
26–28 Apr,Opinium,The Observer,GB,1425,26%,44%,10%,3%,7%,7%,0%,2%,18
24–28 Apr,Survation,Good Morning Britain,UK,2014,28%,45%,12%,3%,4%,3%,1%,5%,17
26–27 Apr,Omnisis,,GB,1352,28%,45%,10%,4%,6%,6%,0%,2% Other on 1% Independent on 1%,17
26–27 Apr,YouGov,The Times,GB,2111,27%,41%,11%,4%,7%,7%,1%,2%,14
26–27 Apr,Techne Archived 8 June 2023 at the Wayback Machine,,UK,1627,30%,44%,9%,3%,5%,6%,–,3%,14
24–26 Apr,Deltapoll,,GB,1576,30%,43%,9%,4%,5%,5%,1%,3% UKIP on 2% Other on 1%,13
23 Apr,Redfield & Wilton,,GB,2000,29%,44%,11%,3%,5%,6%,–,1%,15
21–23 Apr,Savanta,,UK,2156,31%,42%,9%,3%,3%,7%,–,5%,11
20 Apr,Techne Archived 26 January 2024 at the Wayback Machine,,UK,1626,31%,44%,10%,3%,5%,5%,–,3%,13
19–20 Apr,Omnisis,,GB,1318,27%,47%,7%,4%,6%,7%,1%,2% Other on 1% Independent on 1%,20
18–19 Apr,YouGov,The Times,GB,2010,28%,43%,10%,2%,6%,7%,1%,2%,15
13–17 Apr,Deltapoll,,GB,1567,29%,43%,10%,4%,5%,4%,2%,2% UKIP on 1% Other on 1%,14
16 Apr,Redfield & Wilton,,GB,2000,32%,44%,10%,4%,4%,4%,–,1%,12
14–16 Apr,Savanta,,UK,2237,31%,45%,8%,3%,3%,5%,–,4%,14
12–14 Apr,Opinium,The Observer,GB,1370,28%,42%,10%,3%,6%,8%,1%,2%,14
12–13 Apr,Techne Archived 14 April 2023 at the Wayback Machine,,UK,1630,30%,45%,10%,3%,4%,6%,–,3%,15
12–13 Apr,YouGov,The Times,GB,2010,27%,45%,10%,3%,5%,6%,1%,2%,18
12–13 Apr,Omnisis Archived 16 April 2023 at the Wayback Machine,,GB,1340,25%,48%,9%,4%,5%,7%,1%,1%,23
6–11 Apr,More in Common,,GB,2046,30%,44%,10%,3%,6%,5%,–,2%,14
9 Apr,Redfield & Wilton,,GB,2000,30%,44%,10%,3%,5%,6%,–,2%,14
5–6 Apr,Omnisis Archived 14 April 2023 at the Wayback Machine,,UK,1328,26%,46%,10%,3%,5%,7%,1%,1%,20
5–6 Apr,Opinium,The Observer,GB,2081,30%,41%,10%,3%,5%,7%,1%,4%,11
5–6 Apr,Techne Archived 4 June 2023 at the Wayback Machine,,UK,1629,30%,45%,9%,3%,5%,5%,–,2%,15
5–6 Apr,YouGov,The Times,GB,2042,27%,44%,9%,4%,7%,6%,1%,2%,17
31 Mar – 3 Apr,Deltapoll,,GB,1587,27%,48%,9%,4%,4%,5%,1%,3% UKIP on 2% Other on 1%,21
2 Apr,Redfield & Wilton,,GB,2000,28%,45%,12%,4%,4%,5%,–,2%,17
31 Mar – 2 Apr,Savanta Archived 14 April 2023 at the Wayback Machine,,UK,2149,29%,45%,10%,3%,3%,5%,1%,4%,16
29 Mar – 2 Apr,Survation,,UK,1009,29%,46%,8%,4%,3%,5%,1%,5% UKIP on 0% Reclaim Party on 0% Alba Party on 0% Other on 4%,17
29–31 Mar,Opinium,The Observer,GB,2050,29%,44%,9%,3%,5%,7%,1%,2%,15
29–30 Mar,YouGov,The Times,GB,2002,26%,46%,9%,3%,7%,7%,1%,1%,20
29–30 Mar,Techne,,UK,1633,30%,46%,9%,3%,4%,5%,–,3%,16
29 Mar,PeoplePolling,GB News,GB,1209,24%,42%,9%,5%,7%,8%,1%,5%,18
28–29 Mar,Omnisis Archived 21 April 2023 at the Wayback Machine,,GB,1344,27%,50%,9%,3%,4%,6%,1%,1%,23
27–29 Mar,Humza Yousaf is elected leader of the SNP and subsequently becomes First Minister of Scotland,Humza Yousaf is elected leader of the SNP and subsequently becomes First Minister of Scotland,Humza Yousaf is elected leader of the SNP and subsequently becomes First Minister of Scotland,Humza Yousaf is elected leader of the SNP and subsequently becomes First Minister of Scotland,Humza Yousaf is elected leader of the SNP and subsequently becomes First Minister of Scotland,Humza Yousaf is elected leader of the SNP and subsequently becomes First Minister of Scotland,Humza Yousaf is elected leader of the SNP and subsequently becomes First Minister of Scotland,Humza Yousaf is elected leader of the SNP and subsequently becomes First Minister of Scotland,Humza Yousaf is elected leader of the SNP and subsequently becomes First Minister of Scotland,Humza Yousaf is elected leader of the SNP and subsequently becomes First Minister of Scotland,Humza Yousaf is elected leader of the SNP and subsequently becomes First Minister of Scotland,Humza Yousaf is elected leader of the SNP and subsequently becomes First Minister of Scotland,Humza Yousaf is elected leader of the SNP and subsequently becomes First Minister of Scotland
22–29 Mar,Ipsos,Evening Standard,UK,1004,26%,49%,11%,5%,6%,2%,0%,1% UKIP on 1% Other on 0%,23
24–27 Mar,Deltapoll,,GB,1569,30%,45%,10%,4%,4%,4%,1%,4% UKIP on 2% Other on 1%,15
26 Mar,Redfield & Wilton,,GB,2000,27%,46%,10%,3%,4%,8%,–,2%,19
24–26 Mar,Savanta Archived 29 March 2023 at the Wayback Machine,,UK,2097,29%,45%,9%,4%,3%,4%,1%,4%,16
23–24 Mar,Omnisis Archived 15 August 2023 at the Wayback Machine,,GB,1382,29%,44%,10%,3%,5%,6%,0%,2% Other on 0% Independent on 2%,15
23–24 Mar,Survation,,UK,831,31%,45%,8%,4%,3%,4%,1%,4% UKIP on 1% Alba Party on 1% Reclaim Party on 0% Other on 3%,14
22–23 Mar,Techne,,UK,1624,31%,46%,8%,4%,4%,5%,–,2%,15
22 Mar,PeoplePolling,GB News,UK,1175,22%,43%,10%,4%,8%,9%,2%,3%,21
21–22 Mar,YouGov,The Times,GB,2026,23%,49%,10%,3%,6%,6%,1%,2%,26
17–20 Mar,Survation,,UK,812,31%,46%,8%,4%,2%,4%,1%,4% UKIP on 1% Reclaim Party on 0% Alba Party on 0% Other on 3%,15
17–20 Mar,Deltapoll,,GB,1054,35%,45%,7%,4%,4%,3%,0%,2% UKIP on 1% Other on 1%,10
19 Mar,Redfield & Wilton,,GB,2000,26%,47%,11%,4%,6%,5%,–,2%,21
17–19 Mar,Savanta Archived 29 March 2023 at the Wayback Machine,,UK,2175,31%,45%,9%,3%,3%,4%,1%,4%,14
16–17 Mar,PeoplePolling,GB News,UK,1289,20%,45%,9%,5%,13%,6%,1%,2%,25
15–17 Mar,Opinium,The Observer,GB,2000,29%,44%,8%,3%,6%,7%,1%,2%,15
15–16 Mar,YouGov,The Times,GB,2155,27%,46%,9%,4%,6%,6%,1%,1%,19
15–16 Mar,BMG,,GB,1546,29%,46%,8%,4%,4%,6%,1%,2%,17
15–16 Mar,Techne Archived 15 August 2023 at the Wayback Machine,,UK,1632,30%,47%,8%,3%,4%,5%,–,2%,17
15 Mar,Omnisis,,UK,1126,25%,46%,6%,3%,7%,9%,0%,3% Other on 1% Independent on 2%,21
13–15 Mar,Survation,,UK,1011,32%,48%,8%,3%,2%,3%,0%,5% UKIP on 1% Reclaim Party on 0% Alba Party on 0% Other on 2%,16
10–13 Mar,Deltapoll,,GB,1561,27%,50%,9%,3%,4%,4%,1%,2%,23
12 Mar,Redfield & Wilton,,GB,2000,27%,48%,11%,3%,5%,6%,–,1%,21
10–12 Mar,Savanta Archived 29 March 2023 at the Wayback Machine,,UK,2093,30%,45%,9%,3%,3%,5%,1%,4%,15
8–10 Mar,Opinium,,GB,2000,29%,44%,8%,3%,5%,8%,1%,3%,15
8–9 Mar,Omnisis Archived 21 April 2023 at the Wayback Machine,,GB,1323,26%,50%,7%,4%,5%,6%,0%,2% Other on 1% Independent on 1%,24
8–9 Mar,Techne,,UK,1624,29%,46%,9%,3%,5%,6%,–,2%,17
8 Mar,PeoplePolling,GB News,UK,1158,23%,42%,8%,4%,10%,7%,1%,5%,19
7–8 Mar,YouGov,The Times,GB,2049,23%,45%,10%,4%,7%,7%,1%,2%,22
2–6 Mar,Deltapoll[permanent dead link],,GB,1630,31%,47%,8%,4%,5%,4%,–,1% UKIP on 1%,16
5 Mar,Redfield & Wilton,,GB,2000,24%,50%,9%,3%,5%,7%,–,1%,26
3–5 Mar,Savanta[dead link],,UK,2138,32%,43%,9%,4%,3%,5%,1%,4%,11
2–3 Mar,Survation,,UK,870,29%,45%,10%,3%,3%,4%,1%,5% UKIP on 1% Reclaim Party on 0% Alba Party on 0% Other on 4%,16
1–3 Mar,FindOutNow/Electoral Calculus,Daily Telegraph,GB,1487,25%,48%,9%,4%,6%,5%,1%,1%,23
1–3 Mar,Opinium,Headlands Consultancy,GB,3000,30%,42%,9%,3%,6%,8%,1%,3%,12
1–3 Mar,Opinium,The Observer,GB,1419,27%,44%,7%,3%,7%,8%,0%,3%,17
2–3 Mar,Omnisis,,GB,1284,26%,45%,11%,4%,6%,6%,0%,2% Other on 1% Independent on 1%,19
1–2 Mar,Techne,,UK,1625,29%,47%,8%,3%,5%,6%,–,2%,18
1 Mar,PeoplePolling,GB News,UK,1158,24%,45%,9%,5%,8%,7%,1%,3%,21
28 Feb – 1 Mar,YouGov,The Times,GB,2073,25%,47%,10%,4%,5%,6%,1%,2%,22
22 Feb – 1 Mar,Ipsos,Evening Standard,UK,1004,25%,51%,9%,5%,5%,3%,1%,0% UKIP on 0% BNP on 0% Other on 0%,26
24–27 Feb,Deltapoll,,GB,1060,31%,46%,8%,3%,4%,5%,1%,2% UKIP on 1% Other on 1%,15
26 Feb,Redfield & Wilton,,GB,2000,24%,51%,9%,3%,5%,7%,–,1%,27
24–26 Feb,Savanta Archived 29 March 2023 at the Wayback Machine,,UK,2224,29%,44%,9%,4%,3%,6%,1%,4%,15
22–23 Feb,Omnisis,,GB,1248,24%,48%,10%,4%,5%,8%,0%,1%,24
22–23 Feb,Techne,,UK,1633,27%,49%,8%,3%,5%,5%,–,3%,22
21–23 Feb,BMG,,GB,1500,29%,46%,9%,4%,4%,6%,1%,1%,17
22 Feb,PeoplePolling,GB News,UK,1192,20%,46%,7%,5%,8%,9%,2%,4%,26
21–22 Feb,YouGov,The Times,GB,2003,23%,46%,9%,4%,7%,8%,1%,2%,23
17–20 Feb,Deltapoll,,GB,1079,28%,50%,9%,4%,3%,2%,1%,2% UKIP on 1% Other on 1%,22
16–20 Feb,Kantar Public Archived 15 August 2023 at the Wayback Machine,,GB,1120,28%,45%,9%,5%,7%,5%,–,1% UKIP on 1%,17
17–19 Feb,Savanta Archived 29 March 2023 at the Wayback Machine,,UK,2103,31%,45%,9%,3%,3%,4%,1%,3%,14
18 Feb,Redfield & Wilton,,GB,2000,24%,51%,10%,3%,5%,6%,–,1%,27
15–17 Feb,Opinium,The Observer,GB,1451,28%,44%,9%,4%,6%,7%,–,2%,16
15–16 Feb,Omnisis,,GB,1259,25%,48%,10%,3%,5%,7%,0%,1%,23
,,,,,,,,,,,,,
15–16 Feb,Techne,,UK,1631,27%,48%,8%,3%,5%,6%,–,3%,21
10–16 Feb,Survation,,UK,6094,29%,48%,8%,3%,3%,4%,1%,5% UKIP on 1% Reclaim Party on 0% Alba Party on 0% Other on 3%,19
15 Feb,PeoplePolling,GB News,UK,1148,21%,48%,8%,5%,8%,7%,1%,3%,27
14–15 Feb,YouGov,The Times,GB,2062,22%,50%,9%,4%,6%,7%,1%,1%,28
10–13 Feb,Deltapoll,,GB,1004,28%,48%,8%,5%,6%,3%,1%,1%,20
12 Feb,Redfield & Wilton,,GB,2000,27%,48%,9%,4%,5%,6%,–,1%,21
10–12 Feb,Focaldata,,GB,1041,28%,48%,9%,3%,4%,6%,–,2%,20
10–12 Feb,Savanta Archived 29 March 2023 at the Wayback Machine,,UK,2175,28%,45%,10%,3%,4%,5%,0%,4%,17
9–10 Feb,Omnisis,,GB,1281,26%,47%,10%,4%,4%,8%,0%,1%,21
9 Feb,West Lancashire by-election (Lab hold),West Lancashire by-election (Lab hold),West Lancashire by-election (Lab hold),West Lancashire by-election (Lab hold),West Lancashire by-election (Lab hold),West Lancashire by-election (Lab hold),West Lancashire by-election (Lab hold),West Lancashire by-election (Lab hold),West Lancashire by-election (Lab hold),West Lancashire by-election (Lab hold),West Lancashire by-election (Lab hold),West Lancashire by-election (Lab hold),West Lancashire by-election (Lab hold)
8–9 Feb,PeoplePolling,GB News,UK,1229,21%,50%,7%,4%,6%,7%,1%,3%,29
8–9 Feb,Techne,,UK,1627,26%,47%,9%,4%,5%,6%,–,3%,21
8–9 Feb,YouGov,The Times,GB,2061,24%,47%,10%,4%,6%,6%,1%,2%,23
3–6 Feb,Deltapoll,,GB,1831,29%,47%,9%,4%,4%,5%,1%,2% UKIP on 1% Other on 1%,18
1–6 Feb,Survation,,UK,1923,26%,42%,11%,4%,5%,6%,1%,5% UKIP on 1% Reclaim Party on 0% Alba Party on 0% Other on 4%,16
5 Feb,Redfield & Wilton,,GB,2000,24%,50%,10%,3%,5%,6%,1%,1%,26
3–5 Feb,Savanta Archived 9 February 2023 at the Wayback Machine,,UK,2247,27%,46%,9%,3%,4%,5%,0%,4%,19
27 Jan – 5 Feb,FindOutNow/Electoral Calculus,The Daily Telegraph,GB,28191,23%,48%,11%,4%,5%,5%,–,—,25
2–3 Feb,Omnisis,,GB,1324,24%,48%,9%,4%,5%,6%,0%,3% Other on 1% Independent on 2%,24
1–2 Feb,Techne,,UK,1634,27%,48%,8%,4%,4%,7%,—,2%,21
1 Feb,PeoplePolling,GB News,UK,1139,22%,46%,9%,5%,7%,7%,2%,2%,24
31 Jan – 1 Feb,YouGov,The Times,GB,2006,24%,48%,9%,4%,6%,6%,1%,2%,24
26–30 Jan,Deltapoll,,GB,1057,29%,46%,9%,4%,4%,4%,1%,2% UKIP on 1% Other on 1%,17
29 Jan,Redfield & Wilton,,GB,2000,28%,49%,8%,4%,5%,5%,—,1%,21
29 Jan,Savanta Archived 9 February 2023 at the Wayback Machine,,UK,2041,26%,47%,9%,3%,4%,6%,0%,5%,21
26–27 Jan,Omnisis Archived 1 February 2023 at the Wayback Machine,,GB,1311,26%,50%,7%,3%,6%,7%,0%,2% Other on 1% Independent on 1%,24
25–26 Jan,Techne,,UK,1631,26%,47%,8%,4%,5%,7%,—,3%,21
24–26 Jan,BMG,,GB,1502,29%,46%,9%,4%,3%,6%,1%,2%,17
24–25 Jan,YouGov,The Times,GB,2058,26%,45%,10%,4%,7%,6%,1%,2%,19
18–25 Jan,Ipsos,,UK,1001,26%,51%,9%,6%,5%,2%,1%,2% UKIP on 1% BNP on 1%,25
24 Jan,PeoplePolling,GB News,UK,1270,21%,50%,8%,6%,5%,7%,1%,3%,29
22 Jan,Redfield & Wilton,,GB,2000,26%,48%,9%,5%,4%,6%,—,1%,22
19–21 Jan,Deltapoll,,GB,1563,30%,44%,9%,4%,5%,4%,1%,4% UKIP on 3% Other on 1%,14
19–20 Jan,Omnisis Archived 15 August 2023 at the Wayback Machine,,GB,1268,24%,50%,8%,4%,5%,5%,0%,3%,26
18–19 Jan,Techne,,UK,1625,27%,46%,9%,4%,5%,6%,—,3%,19
18–19 Jan,YouGov,The Times,GB,2004,26%,48%,8%,4%,5%,7%,1%,1%,22
18 Jan,PeoplePolling,GB News,UK,1168,21%,45%,9%,5%,9%,8%,1%,3%,24
17–18 Jan,Focaldata,Sam Freedman,GB,1028,24%,49%,9%,3%,4%,7%,—,4%,25
12–16 Jan,Deltapoll,,GB,1059,29%,45%,10%,5%,5%,4%,—,3% UKIP on 3%,16
15 Jan,Redfield & Wilton,,GB,2000,27%,47%,10%,4%,5%,6%,—,1%,20
11–13 Jan,Opinium,The Observer,GB,2000,29%,45%,9%,3%,5%,6%,1%,2%,16
11–12 Jan,Techne,,UK,1636,26%,47%,8%,4%,5%,7%,—,3%,21
11–12 Jan,Omnisis Archived 14 January 2023 at the Wayback Machine,,GB,1247,28%,48%,7%,4%,7%,3%,0%,1%,20
11 Jan,PeoplePolling,GB News,UK,1160,21%,48%,8%,5%,7%,7%,1%,3%,27
10–11 Jan,YouGov,The Times,GB,1691,25%,47%,9%,5%,5%,7%,1%,1%,22
20 Dec – 11 Jan,YouGov,The Times,GB,4922,24%,47%,9%,5%,5%,7%,1%,2%,23
8 Jan,Redfield & Wilton,,GB,2000,26%,48%,9%,4%,5%,6%,—,2%,22
5–7 Jan,Deltapoll,,GB,1593,31%,45%,9%,3%,5%,3%,—,3% UKIP on 2% Other on 1%,14
5–6 Jan,Omnisis Archived 15 August 2023 at the Wayback Machine,,GB,1285,27%,49%,10%,4%,4%,4%,0%,1%,22
4–5 Jan,YouGov,The Times,GB,1709,25%,46%,9%,5%,6%,7%,1%,2%,21
4–5 Jan,Techne,,UK,1625,25%,46%,9%,4%,5%,8%,—,3%,21
4 Jan,PeoplePolling,GB News,GB,1209,22%,46%,7%,5%,7%,8%,1%,6%,24
2–3 Jan,Redfield & Wilton,,GB,2000,27%,47%,12%,4%,3%,5%,—,1%,20
