Dates conducted,Pollster,Client,Area,Sample size,Con,Lab,LD,SNP,Grn,Ref,PC,Others,Lead
8–10 Apr,Deltapoll Archived 10 April 2021 at the Wayback Machine[36],The Mail on Sunday,GB,1608,45%,36%,6%,2%,4%,4%,0%,3% UKIP on 2% Other on 1%,9
8–9 Apr,Opinium,The Observer,GB,2006,45%,36%,6%,6%,4%,0%,1%,3% UKIP on 1% Other on 2%,9
7–8 Apr,YouGov,The Times,GB,1708,41%,34%,6%,5%,6%,3%,1%,3%,7
5 Apr,Redfield & Wilton,,GB,2000,44%,34%,9%,4%,5%,2%,0%,2%,10
2–4 Apr,Savanta ComRes,,UK,2065,42%,35%,8%,4%,3%,2%,1%,4%,7
31 Mar – 1 Apr,YouGov,The Times,GB,1736,42%,34%,7%,5%,6%,3%,1%,2%,8
29 Mar,Redfield & Wilton,,GB,2000,44%,36%,7%,4%,4%,2%,1%,2%,8
25–29 Mar,Kantar Public,,GB,1102,42%,34%,9%,7%,4%,2%,1%,2% UKIP on 1% Other on 1%,8
25–27 Mar,Deltapoll Archived 28 March 2021 at the Wayback Machine[37],The Mail on Sunday,GB,1610,44%,36%,6%,2%,4%,3%,0%,5% UKIP on 4% Other on 1%,8
25–26 Mar,YouGov,The Times,GB,1742,42%,32%,8%,5%,7%,3%,1%,2%,10
25–26 Mar,Opinium,The Observer,GB,2002,41%,37%,6%,6%,5%,1%,1%,4% UKIP on 2% Other on 2%,4
22 Mar,Redfield & Wilton,,GB,2000,42%,36%,9%,4%,6%,2%,1%,1%,6
19–21 Mar,Savanta ComRes,,UK,2098,42%,38%,6%,4%,3%,2%,1%,4%,4
18–19 Mar,YouGov,The Times,GB,1692,43%,34%,5%,5%,7%,3%,1%,2%,9
16–19 Mar,BMG,The Independent,GB,1498,39%,37%,9%,4%,6%,3%,1%,1%,2
12–16 Mar,Number Cruncher Politics,,UK,1001,42%,37%,7%,5%,5%,2%,1%,2%,5
15 Mar,Redfield & Wilton,,GB,2000,43%,36%,7%,4%,5%,3%,0%,1%,7
12–14 Mar,Savanta ComRes,,UK,2092,39%,37%,8%,4%,4%,3%,1%,4%,2
11–12 Mar,Opinium,The Observer,GB,2001,43%,37%,6%,5%,4%,0%,1%,3% UKIP on 1% Other on 2%,6
5–12 Mar,Ipsos,Evening Standard,GB,1009,45%,38%,6%,5%,5%,0%,0%,1%,7
9–10 Mar,YouGov,The Times,GB,1680,42%,33%,7%,4%,6%,3%,1%,2%,9
9–10 Mar,Survation,Sunday Mirror,UK,1037,43%,33%,9%,5%,5%,1%,1%,4%,10
8 Mar,Redfield & Wilton,,GB,2000,45%,36%,7%,4%,4%,3%,0%,1%,9
5–7 Mar,Savanta ComRes,,UK,2129,42%,36%,8%,4%,4%,3%,1%,4%,6
6 Mar,Richard Tice becomes leader of Reform UK[38],Richard Tice becomes leader of Reform UK[38],Richard Tice becomes leader of Reform UK[38],Richard Tice becomes leader of Reform UK[38],Richard Tice becomes leader of Reform UK[38],Richard Tice becomes leader of Reform UK[38],Richard Tice becomes leader of Reform UK[38],Richard Tice becomes leader of Reform UK[38],Richard Tice becomes leader of Reform UK[38],Richard Tice becomes leader of Reform UK[38],Richard Tice becomes leader of Reform UK[38],Richard Tice becomes leader of Reform UK[38],Richard Tice becomes leader of Reform UK[38]
3–4 Mar,YouGov,The Times,GB,1715,45%,32%,6%,5%,7%,3%,1%,1%,13
1 Mar,Redfield & Wilton,,GB,1500,44%,38%,7%,4%,3%,2%,0%,1%,6
26–28 Feb,Savanta ComRes Archived 2 March 2021 at the Wayback Machine[39],,UK,2182,43%,36%,7%,4%,3%,3%,1%,3%,7
25–26 Feb,YouGov,The Times,GB,1637,41%,36%,5%,5%,7%,3%,1%,1%,5
24–26 Feb,Deltapoll,The Mail on Sunday,GB,1527,42%,38%,6%,2%,4%,3%,0%,4% UKIP on 3% Other on 1%,4
24–26 Feb,Opinium,The Observer,GB,2003,43%,36%,7%,6%,4%,0%,1%,3% UKIP on 1% Other on 2%,7
23–25 Feb,Survation,,UK,1002,42%,34%,7%,5%,6%,—,1%,5%,8
22 Feb,Redfield & Wilton,,GB,2000,43%,37%,7%,4%,5%,3%,0%,1%,6
18–22 Feb,Kantar Public,,GB,1114,40%,33%,11%,4%,6%,3%,1%,3% UKIP on 2% Other on 1%,7
19–21 Feb,Savanta ComRes Archived 2 July 2022 at the Wayback Machine[40],,UK,2189,40%,38%,7%,4%,3%,3%,1%,5%,2
17–18 Feb,YouGov,The Times,GB,1663,40%,37%,7%,5%,6%,3%,1%,1%,3
15 Feb,Redfield & Wilton,,GB,2000,41%,39%,8%,5%,5%,2%,0%,1%,2
12–14 Feb,Savanta ComRes,,UK,2170,42%,37%,7%,4%,3%,2%,1%,4%,5
11–12 Feb,Opinium,The Observer,UK,2006,42%,37%,6%,5%,5%,0%,1%,4% UKIP on 1% Other on 3%,5
9–10 Feb,YouGov,The Times,GB,1660,41%,36%,6%,5%,7%,3%,1%,3%,5
8 Feb,Redfield & Wilton,,GB,2000,43%,38%,7%,5%,4%,2%,0%,1%,5
5–7 Feb,Savanta ComRes Archived 16 February 2021 at the Wayback Machine[41],,UK,2119,41%,37%,8%,4%,4%,2%,1%,4%,4
5–6 Feb,Survation,,UK,1003,39%,33%,9%,5%,7%,—,1%,5%,6
29 Jan – 4 Feb,Ipsos,Evening Standard,GB,1056,42%,38%,7%,5%,8%,0%,0%,0%,4
2–3 Feb,YouGov,The Times,GB,1684,41%,37%,6%,5%,6%,3%,1%,2%,4
2 Feb,FindOutNow,,GB,5002,39%,38%,7%,6%[f],6%,3%,—,1%,1
1 Feb,Redfield & Wilton,,GB,2000,40%,38%,8%,5%,4%,3%,0%,1%,2
25 Jan – 1 Feb,Number Cruncher Politics,ITV,UK,2001,43%,37%,5%,5%,5%,3%,1%,1%,6
29–31 Jan,Savanta ComRes Archived 15 February 2021 at the Wayback Machine[42],,UK,2288,41%,38%,6%,5%,3%,2%,1%,4%,3
28–29 Jan,Opinium Archived 6 February 2021 at the Wayback Machine[43],The Observer,UK,2002,41%,38%,7%,5%,4%,1%,1%,3% UKIP on 2% Other on 1%,3
26–27 Jan,YouGov,The Times,GB,1721,37%,41%,6%,5%,4%,3%,1%,3%,4
25 Jan,Redfield & Wilton,,GB,2000,42%,37%,8%,5%,4%,3%,0%,2%,5
21–25 Jan,Kantar Public,,GB,1100,40%,37%,10%,4%,5%,2%,—,2% UKIP on 1% Other on 1%,3
22–24 Jan,Savanta ComRes,,UK,2070,40%,37%,8%,5%,3%,2%,0%,4%,3
21–23 Jan,Deltapoll,The Mail on Sunday,GB,1632,41%,39%,7%,4%,3%,2%,0%,4% UKIP on 3% Other on 1%,2
21–22 Jan,YouGov,The Times,GB,1703,39%,38%,5%,5%,6%,4%,1%,2%,1
18 Jan,Redfield & Wilton,,GB,2000,40%,38%,8%,4%,5%,2%,0%,2%,2
15–17 Jan,Savanta ComRes Archived 29 January 2021 at the Wayback Machine[44],,UK,1914,39%,37%,7%,5%,3%,2%,0%,5%,2
14–15 Jan,Opinium Archived 22 January 2021 at the Wayback Machine[45],The Observer,UK,2003,37%,41%,6%,6%,4%,—,1%,4% UKIP on 1% Other on 3%,4
13–14 Jan,YouGov,The Times,GB,1702,38%,39%,5%,5%,6%,3%,1%,2%,1
12–13 Jan,Survation,,UK,1033,40%,38%,7%,4%,5%,1%,0%,6%,2
11 Jan,Redfield & Wilton,,GB,2000,41%,37%,8%,5%,5%,2%,0%,1%,4
8–10 Jan,Savanta ComRes Archived 15 January 2021 at the Wayback Machine[46],,UK,1550,40%,37%,8%,4%,4%,2%,1%,4%,3
6–7 Jan,Opinium,The Observer,UK,2003,39%,40%,6%,5%,4%,—,1%,3%,1
4–5 Jan,YouGov,The Times,GB,1704,39%,39%,6%,5%,6%,3%,1%,2%,Tie
,,,,,,,,,,,,,
