Date(s) conducted,Polling organisation/client,Sample size,Con,Lab,LD,UKIP,Grn,Others,Lead
15–16 May,YouGov/Sunday Times,1892,34%,37%,9%,13%,4%,3%,3
14–15 May,"ComRes/Independent on Sunday, Sunday Mirror[permanent dead link]",2045,29%,33%,8%,19%,4%,7%,4
14–15 May,YouGov/The Sun,2083,34%,36%,8%,13%,4%,5%,2
14–15 May,Populus,2043,32%,36%,10%,13%,3%,6%,4
13–14 May,YouGov/The Sun,1968,32%,35%,10%,13%,4%,5%,3
12–13 May,YouGov/The Sun,1977,34%,34%,8%,15%,3%,5%,Tie
11–12 May,YouGov/The Sun,1680,35%,36%,9%,14%,3%,5%,1
10–12 May,Ipsos MORI/Evening Standard,1003,31%,34%,9%,11%,8%,7%,3
9–11 May,ICM/The Guardian[7],1000,33%,31%,13%,15%,4%,5%,2
9–11 May,Lord Ashcroft[8],1001,34%,32%,9%,15%,5%,6%,2
9–11 May,Populus,2056,35%,36%,8%,13%,3%,5%,1
9 May,Survation/Mail on Sunday,1005,28%,33%,10%,20%,3%,6%,5
8–9 May,YouGov/Sunday Times,1905,31%,38%,9%,13%,4%,5%,7
7–8 May,Populus,2006,32%,36%,8%,16%,4%,5%,4
7–8 May,YouGov/The Sun,1875,34%,35%,8%,13%,4%,6%,1
6–8 May,Opinium/The Observer,1997,29%,33%,9%,20%,4%,5%,4
6–7 May,YouGov/The Sun,1858,34%,37%,8%,13%,3%,5%,3
5–6 May,YouGov/The Sun,1933,34%,35%,9%,14%,3%,5%,1
2–5 May,Populus,2034,33%,36%,8%,14%,4%,5%,3
2–3 May,Survation/Daily Mirror,1005,33%,34%,8%,18%,4%,3%,1
1–2 May,YouGov/Sunday Times,1945,33%,36%,9%,15%,4%,3%,3
30 Apr – 1 May,YouGov/The Sun on Sunday,1844,33%,36%,10%,15%,2%,4%,3
30 Apr – 1 May,Populus,2060,34%,35%,9%,14%,3%,5%,1
30 Apr – 1 May,YouGov/The Sun,1813,33%,36%,10%,14%,3%,4%,3
2 Apr – 1 May,Populus/Financial Times,18448,34%,36%,10%,13%,3%,4%,2
29–30 Apr,YouGov/The Sun,1898,31%,37%,9%,15%,3%,5%,6
28–29 Apr,YouGov/The Sun,1804,32%,37%,9%,14%,3%,5%,5
27–28 Apr,YouGov/The Sun,1629,32%,37%,10%,15%,2%,4%,5
25–27 Apr,Populus,2052,32%,35%,10%,15%,3%,5%,3
24–25 Apr,YouGov/Sunday Times,1835,31%,36%,9%,15%,4%,5%,5
22–25 Apr,Opinium/The Observer,1965,32%,34%,7%,18%,3%,6%,2
23–24 Apr,Populus,2055,35%,35%,9%,13%,3%,5%,Tie
23–24 Apr,YouGov/The Sun,2072,32%,38%,8%,14%,4%,4%,6
22–23 Apr,YouGov/The Sun,2143,32%,37%,10%,15%,2%,4%,5
21–22 Apr,YouGov/The Sun,2190,34%,37%,10%,12%,2%,5%,3
17–21 Apr,Populus,2049,33%,36%,10%,13%,3%,4%,3
16–17 Apr,YouGov/The Sun,1884,33%,35%,11%,15%,2%,4%,2
15–16 Apr,Populus,2069,34%,35%,9%,14%,3%,5%,1
15–16 Apr,YouGov/The Sun,2166,33%,39%,9%,11%,3%,5%,6
14–15 Apr,YouGov/The Sun,2162,34%,37%,10%,13%,2%,4%,3
13–14 Apr,YouGov/The Sun,1541,33%,38%,9%,12%,3%,5%,5
11–13 Apr,ComRes/The Independent[permanent dead link],1000,30%,36%,9%,12%,4%,9%,6
11–13 Apr,ICM/The Guardian[7],1000,32%,37%,12%,11%,2%,6%,5
11–13 Apr,Populus,2011,33%,35%,11%,13%,2%,6%,2
10–11 Apr,YouGov/Sunday Times,2036,32%,38%,8%,14%,2%,6%,6
9–10 Apr,"ComRes/Independent on Sunday, Sunday Mirror[permanent dead link]",2003,29%,35%,7%,20%,4%,5%,6
9–10 Apr,Populus,2051,34%,35%,11%,12%,2%,6%,1
9–10 Apr,YouGov/The Sun,2111,32%,38%,8%,14%,2%,5%,6
8–10 Apr,Opinium/The Observer,1972,30%,36%,7%,18%,3%,6%,6
8–9 Apr,YouGov/The Sun,2061,33%,36%,10%,14%,2%,5%,3
7–8 Apr,YouGov/The Sun,2144,33%,37%,10%,13%,2%,4%,4
6–7 Apr,YouGov/The Sun,1748,33%,36%,10%,14%,2%,5%,3
5–7 Apr,Ipsos MORI/Evening Standard,1002,31%,37%,9%,15%,3%,4%,6
4–6 Apr,Populus,2034,34%,37%,9%,14%,3%,4%,3
4 Apr,Survation/Mail on Sunday,1001,29%,36%,10%,20%,2%,4%,7
3–4 Apr,YouGov/Sunday Times,1998,34%,39%,9%,12%,2%,4%,5
2–3 Apr,Populus,2067,33%,37%,10%,13%,2%,5%,4
2–3 Apr,YouGov/The Sun,2076,32%,38%,10%,13%,3%,4%,6
1–2 Apr,YouGov/The Sun,2148,32%,38%,10%,13%,2%,5%,6
31 Mar – 1 Apr,YouGov/The Sun,1981,33%,37%,10%,12%,2%,6%,4
30–31 Mar,YouGov/The Sun,1696,34%,37%,11%,13%,2%,5%,3
28–30 Mar,Populus,2008,34%,37%,10%,11%,3%,5%,3
5–30 Mar,Populus/Financial Times,16424,34%,37%,9%,12%,3%,5%,3
27–28 Mar,YouGov/Sunday Times,1916,33%,40%,9%,11%,2%,5%,7
27–28 Mar,Populus,2066,35%,37%,8%,12%,3%,5%,2
25–28 Mar,Opinium/The Observer,1936,32%,33%,10%,15%,3%,7%,1
26–27 Mar,YouGov/The Sun,2039,35%,36%,10%,11%,3%,4%,1
25–26 Mar,YouGov/The Sun,2070,35%,37%,9%,11%,2%,5%,2
24–25 Mar,YouGov/The Sun,1958,35%,38%,10%,10%,2%,5%,3
23–24 Mar,YouGov/The Sun,1558,36%,38%,10%,10%,2%,4%,2
21–23 Mar,ComRes/Independent Archived 30 June 2025 at the Wayback Machine,1024,31%,36%,9%,11%,5%,8%,5
21–23 Mar,Populus,2039,34%,35%,10%,13%,2%,6%,1
20–21 Mar,YouGov/Sunday Times,2103,36%,37%,9%,11%,2%,5%,1
20–21 Mar,Survation/Mail on Sunday,1000,34%,35%,9%,15%,2%,5%,1
19–20 Mar,Populus,2122,34%,38%,9%,12%,2%,5%,4
19–20 Mar,YouGov/The Sun,1904,34%,39%,10%,10%,2%,5%,5
18–19 Mar,YouGov/The Sun,2088,33%,38%,11%,11%,3%,4%,5
17–18 Mar,YouGov/The Sun,2284,34%,38%,11%,11%,3%,4%,4
16–17 Mar,YouGov/The Sun,1919,32%,40%,9%,11%,3%,4%,8
14–16 Mar,Populus,2053,32%,36%,10%,13%,3%,6%,4
13–14 Mar,YouGov/Sunday Times,1946,33%,40%,8%,12%,2%,4%,7
12–13 Mar,ComRes/Independent on Sunday/Sunday Mirror[permanent dead link],2001,32%,35%,9%,16%,3%,5%,3
12–13 Mar,Populus,2053,34%,35%,10%,13%,2%,6%,1
12–13 Mar,YouGov/The Sun,2098,33%,38%,11%,10%,2%,6%,5
11–12 Mar,Opinium/The Observer,1971,30%,35%,10%,16%,3%,6%,5
11–12 Mar,YouGov/The Sun,2095,35%,37%,9%,13%,2%,4%,2
8–12 Mar,Ipsos MORI/Evening Standard,1000,32%,35%,13%,11%,5%,4%,3
10–11 Mar,YouGov/The Sun,2040,34%,38%,10%,12%,2%,4%,4
7–11 Mar,ICM/The Guardian[7],1003,35%,38%,12%,9%,3%,3%,3
9–10 Mar,YouGov/The Sun,3195,32%,39%,8%,13%,3%,5%,7
7–9 Mar,Populus,2058,34%,38%,9%,12%,3%,4%,4
6–7 Mar,YouGov/Sunday Times,2029,32%,39%,10%,14%,2%,3%,7
5–6 Mar,Populus,2025,34%,37%,9%,12%,3%,5%,3
5–6 Mar,YouGov/The Sun,1833,31%,40%,9%,13%,3%,4%,9
4–5 Mar,YouGov/The Sun,1868,34%,37%,10%,11%,3%,5%,3
3–4 Mar,YouGov/The Sun,2041,34%,38%,9%,13%,2%,4%,4
2–3 Mar,YouGov/The Sun,1868,32%,41%,8%,12%,1%,6%,9
28 Feb – 2 Mar,ComRes/Independent[permanent dead link],1004,30%,38%,10%,11%,4%,7%,8
28 Feb – 2 Mar,Populus,2055,34%,37%,10%,12%,3%,4%,3
27–28 Feb,YouGov/Sunday Times,2098,33%,38%,9%,13%,2%,5%,5
25–28 Feb,Opinium/The Observer,1946,29%,34%,10%,19%,3%,5%,5
26–27 Feb,Populus,1131,33%,38%,9%,13%,3%,5%,5
5–27 Feb,Populus/Financial Times,14203,33%,37%,10%,14%,3%,3%,4
26–27 Feb,YouGov/The Sun,1868,34%,39%,8%,12%,3%,4%,5
25–26 Feb,YouGov/The Sun,2062,34%,40%,10%,11%,3%,4%,6
24–25 Feb,YouGov/The Sun,1936,33%,39%,10%,11%,3%,4%,6
23–24 Feb,YouGov/The Sun,1773,33%,38%,10%,13%,2%,5%,5
21–23 Feb,Populus,2052,32%,37%,10%,15%,2%,4%,5
20–21 Feb,YouGov/Sunday Times,2141,32%,39%,8%,12%,2%,6%,7
19–20 Feb,Populus,2066,32%,38%,9%,13%,3%,5%,6
19–20 Feb,YouGov/The Sun,1756,34%,39%,9%,12%,2%,4%,5
18–19 Feb,YouGov/The Sun,1766,33%,37%,10%,12%,3%,5%,4
17–18 Feb,YouGov/The Sun,1758,33%,40%,8%,12%,3%,4%,7
16–17 Feb,YouGov/The Sun,1645,33%,40%,9%,11%,2%,5%,7
14–16 Feb,Populus,2031,33%,38%,10%,13%,3%,3%,5
13–14 Feb,YouGov/Sunday Times,1868,32%,39%,9%,12%,3%,6%,7
11–14 Feb,Opinium/The Observer,1969,28%,37%,8%,17%,2%,8%,9
13 Feb,Wythenshawe and Sale East by-election (Lab hold),Wythenshawe and Sale East by-election (Lab hold),Wythenshawe and Sale East by-election (Lab hold),Wythenshawe and Sale East by-election (Lab hold),Wythenshawe and Sale East by-election (Lab hold),Wythenshawe and Sale East by-election (Lab hold),Wythenshawe and Sale East by-election (Lab hold),Wythenshawe and Sale East by-election (Lab hold),Wythenshawe and Sale East by-election (Lab hold)
12–13 Feb,Populus,2015,32%,38%,9%,14%,3%,4%,6
12–13 Feb,ComRes/The Independent on Sunday/Sunday Mirror[permanent dead link],2031,32%,37%,9%,15%,2%,5%,5
12–13 Feb,YouGov/The Sun,1896,33%,39%,9%,12%,2%,5%,6
11–12 Feb,YouGov/The Sun,1826,32%,39%,8%,13%,2%,6%,7
10–11 Feb,YouGov/The Sun,1899,34%,39%,10%,11%,2%,4%,5
9–10 Feb,YouGov/The Sun,1685,33%,39%,10%,12%,2%,4%,6
7–9 Feb,ICM/The Guardian[7],1002,34%,38%,10%,11%,3%,5%,4
7–9 Feb,Populus,2013,34%,36%,11%,12%,3%,4%,2
6–7 Feb,YouGov/Sunday Times,1521,35%,39%,10%,10%,3%,3%,4
5–6 Feb,Populus,2015,33%,36%,9%,15%,2%,5%,3
5–6 Feb,YouGov/The Sun,1911,32%,38%,10%,14%,2%,4%,6
4–5 Feb,YouGov/The Sun,1902,35%,39%,9%,10%,2%,4%,4
3–4 Feb,YouGov/The Sun,1942,33%,39%,8%,13%,3%,4%,6
2–3 Feb,YouGov/The Sun,1741,33%,38%,11%,11%,1%,6%,5
1–3 Feb,Ipsos MORI/Evening Standard,1012,31%,38%,12%,10%,3%,6%,7
31 Jan – 2 Feb,Populus,2043,32%,41%,11%,9%,3%,4%,9
30–31 Jan,YouGov/Sunday Times,1885,34%,39%,8%,11%,3%,5%,5
28–31 Jan,Opinium/The Observer,1972,29%,36%,8%,17%,3%,6%,7
29–30 Jan,Populus,2044,32%,39%,11%,10%,3%,4%,7
29–30 Jan,YouGov/The Sun,1942,32%,42%,8%,12%,2%,4%,10
28–29 Jan,YouGov/The Sun,1884,35%,38%,10%,11%,2%,4%,3
27–28 Jan,YouGov/The Sun,1814,34%,37%,9%,12%,3%,5%,3
26–27 Jan,YouGov/The Sun,1381,35%,37%,9%,13%,2%,5%,2
24–26 Jan,ComRes/Independent,1002,32%,33%,9%,14%,5%,7%,1
24–26 Jan,Populus,2052,33%,40%,11%,8%,3%,5%,7
23–24 Jan,YouGov/Sunday Times,1859,32%,39%,9%,13%,2%,5%,7
22–23 Jan,Populus,2051,32%,40%,11%,9%,3%,5%,8
22–23 Jan,YouGov/The Sun,1840,35%,38%,8%,12%,2%,5%,3
21–22 Jan,YouGov/The Sun,1843,32%,40%,8%,12%,3%,5%,8
20–21 Jan,YouGov/The Sun,1961,34%,38%,9%,13%,3%,3%,4
19–20 Jan,YouGov/The Sun,1682,32%,40%,11%,12%,2%,3%,8
7–20 Jan,Lord Ashcroft,20058,30%,38%,8%,16%,3%,5%,8
17–19 Jan,Populus,2027,32%,39%,12%,9%,3%,5%,7
16–17 Jan,YouGov/Sunday Times,1957,33%,39%,8%,13%,2%,5%,6
15–16 Jan,ComRes/Sunday Mirror/Independent[permanent dead link],2029,30%,35%,8%,19%,3%,5%,5
15–16 Jan,Populus,2039,33%,40%,13%,9%,2%,3%,7
15–16 Jan,YouGov/The Sun,1981,32%,39%,10%,12%,2%,5%,7
14–16 Jan,Opinium/The Observer,1930,30%,36%,8%,17%,3%,6%,6
14–15 Jan,Survation/Sky News,1005,30%,34%,12%,18%,2%,4%,4
14–15 Jan,YouGov/The Sun,1893,33%,39%,10%,12%,2%,4%,6
13–14 Jan,YouGov/The Sun,2000,34%,37%,9%,13%,2%,5%,3
11–14 Jan,Ipsos MORI/Evening Standard,1035,30%,39%,13%,11%,3%,4%,9
12–13 Jan,YouGov/The Sun,1762,33%,38%,11%,12%,2%,4%,5
10–12 Jan,ICM/The Guardian[7],1005,32%,35%,14%,10%,3%,6%,3
10–11 Jan,Populus,2079,33%,38%,12%,9%,3%,5%,5
9–10 Jan,YouGov/Sunday Times,1904,31%,40%,9%,14%,2%,4%,9
8–9 Jan,Populus,2012,33%,40%,11%,8%,3%,5%,7
8–9 Jan,YouGov/The Sun,1887,32%,38%,9%,13%,2%,6%,6
7–8 Jan,YouGov/The Sun,1958,32%,38%,9%,13%,3%,5%,6
6–7 Jan,YouGov/The Sun,1972,32%,37%,10%,14%,3%,4%,5
5–6 Jan,YouGov/The Sun,1729,32%,40%,9%,12%,2%,5%,8
3 Jan,Survation/Mail on Sunday,1001,31%,35%,11%,16%,2%,5%,4
30 Dec 2013 – 2 Jan 2014,Opinium/The Observer,1939,30%,37%,8%,17%,3%,5%,7
