Date(s) conducted,Polling organisation/client,Sample size,Con,Lab,LD,UKIP,Grn,Others,Lead
21–23 Feb,ICM/The Guardian[9],1000,35%,38%,18%,2%,1%,6%,3
18–20 Feb,Ipsos MORI/Reuters,1002,33%,43%,13%,3%,3%,5%,10
17–18 Feb,YouGov/Sunday Times,2464,37%,41%,10%,3%,2%,6%,4
16–17 Feb,YouGov/The Sun,2643,36%,42%,10%,4%,2%,5% BNP on 2%,6
15–16 Feb,YouGov/The Sun,TBC,35%,45%,10%,10%,10%,10%,10
14–15 Feb,YouGov/The Sun,2502,37%,44%,10%,4%,2%,4%,7
13–14 Feb,YouGov/The Sun,2736,36%,44%,10%,4%,2%,4% BNP on 2%,8
10–11 Feb,YouGov/Sunday Times,2419,35%,45%,9%,4%,2%,5%,10
9–10 Feb,YouGov/The Sun,2474,35%,44%,10%,4%,2%,6% BNP on 2%,9
9–10 Feb,ComRes/The Independent on Sunday/Sunday Mirror[permanent dead link],2009,36%,42%,11%,5%,2%,4%,6
8–10 Feb,Angus Reid Public Opinion,2019,34%,40%,11%,6%,9%,9%,6
8–9 Feb,YouGov/The Sun,2339,36%,43%,10%,4%,1%,6% BNP on 2%,7
7–8 Feb,YouGov/The Sun,2483,35%,43%,10%,5%,2%,4% BNP on 1%,8
6–7 Feb,YouGov/The Sun,2278,37%,43%,9%,4%,3%,3% BNP on 1%,6
4–6 Feb,Populus/The Times[10],1510,36%,39%,11%,3%,4%,7%,3
3–4 Feb,YouGov/Sunday Times,2283,36%,42%,10%,5%,3%,3%,6
2–3 Feb,YouGov/The Sunday Times,2051,37%,44%,9%,3%,2%,5%,7
1–2 Feb,YouGov/The Sun,2409,36%,44%,9%,4%,2%,4% BNP on 2%,8
31 Jan – 1 Feb,YouGov/The Sun,1922,39%,44%,8%,4%,1%,5% BNP on 2%,5
30–31 Jan,YouGov/The Sun,2032,40%,42%,8%,4%,1%,6% BNP on 2%,2
28–30 Jan,ComRes/The Independent[permanent dead link],1002,34%,43%,10%,2%,4%,7%,9
27–28 Jan,Angus Reid Public Opinion/Sunday Express,2323,32%,43%,11%,4%,10%,10%,11
27–28 Jan,YouGov/Sunday Times,2234,39%,43%,8%,4%,1%,5%,4
26–27 Jan,YouGov/The Sun,1835,38%,44%,8%,4%,2%,4% BNP on 1%,6
25–26 Jan,YouGov/The Sun,2139,39%,41%,10%,5%,2%,4% BNP on 1%,2
25–26 Jan,Angus Reid Public Opinion/PoliticalBetting.com,2010,33%,41%,12%,6%,9%,9%,8
24–25 Jan,YouGov/The Sun,1816,37%,43%,10%,4%,2%,4% BNP on 2%,6
23–24 Jan,YouGov/The Sun,2003,37%,42%,11%,4%,2%,5% BNP on 1%,5
21–24 Jan,Ipsos MORI/Reuters,1162,33%,43%,13%,4%,3%,4%,10
21–23 Jan,ICM/The Guardian[9],1000,35%,39%,15%,2%,3%,5%,4
20–21 Jan,YouGov/Sunday Times,1699,39%,43%,9%,5%,2%,3%,4
19–20 Jan,YouGov/The Sun,1860,36%,43%,10%,5%,2%,4% BNP on 2%,7
18–19 Jan,YouGov/The Sun,1993,37%,42%,9%,5%,2%,5% BNP on 2% SNP/PC on 2% Other on 1%,5
17–18 Jan,YouGov/The Sun,1884,39%,44%,8%,3%,2%,5% BNP on 1% SNP/PC on 3% Other on 1%,5
16–17 Jan,YouGov/The Sun,1977,37%,42%,9%,5%,2%,4% BNP on 1% SNP/PC on 2% Other on 1%,5
13–14 Jan,YouGov/The Sunday Times,1865,37%,43%,9%,4%,3%,4%,6
13 Jan,Oldham East and Saddleworth by-election (Lab hold),Oldham East and Saddleworth by-election (Lab hold),Oldham East and Saddleworth by-election (Lab hold),Oldham East and Saddleworth by-election (Lab hold),Oldham East and Saddleworth by-election (Lab hold),Oldham East and Saddleworth by-election (Lab hold),Oldham East and Saddleworth by-election (Lab hold),Oldham East and Saddleworth by-election (Lab hold),Oldham East and Saddleworth by-election (Lab hold)
12–13 Jan,ComRes/Sunday Mirror/Independent on Sunday[permanent dead link],2006,36%,40%,10%,5%,3%,6%,4
12–13 Jan,YouGov/The Sun,1884,41%,41%,8%,4%,2%,5% BNP on 2% SNP/PC on 2% Other on 1%,Tie
11–12 Jan,YouGov/The Sun,1812,36%,43%,9%,5%,2%,4% BNP on 1% SNP/PC on 2% Other on 1%,7
10–11 Jan,YouGov/The Sun,1857,40%,41%,7%,5%,2%,4% BNP on 2% SNP/PC on 2% Other on 0%,1
8–10 Jan,YouGov/Sunday Times,2283,40%,43%,8%,4%,2%,3%,3
7–9 Jan,ComRes/The Independent[permanent dead link],1000,34%,42%,12%,2%,5%,5%,8
6–7 Jan,Angus Reid Public Opinion,2010,35%,40%,12%,5%,2%,7%,5
6–7 Jan,YouGov/Sunday Times,1797,38%,41%,10%,4%,2%,4%,3
5–6 Jan,YouGov/The Sun,1862,39%,43%,7%,4%,2%,5% BNP on 2% SNP/PC on 2% Other on 1%,4
4–5 Jan,YouGov/The Sun,TBC,40%,41%,10%,7%,7%,7%,1
3–4 Jan,YouGov/The Sun,1876,40%,42%,8%,4%,2%,5% BNP on 2% SNP/PC on 2% Other on 1%,2
