Polling firm,Last date of polling[1],Link,CPC,NDP,LPC,BQ,GPC,Margin of error[2],Sample size[3],Polling method[4],Lead
,"August 22, 2011",Jack Layton dies of cancer. Turmel assumes the position of Leader of the Opposition.,Jack Layton dies of cancer. Turmel assumes the position of Leader of the Opposition.,Jack Layton dies of cancer. Turmel assumes the position of Leader of the Opposition.,Jack Layton dies of cancer. Turmel assumes the position of Leader of the Opposition.,Jack Layton dies of cancer. Turmel assumes the position of Leader of the Opposition.,Jack Layton dies of cancer. Turmel assumes the position of Leader of the Opposition.,Jack Layton dies of cancer. Turmel assumes the position of Leader of the Opposition.,Jack Layton dies of cancer. Turmel assumes the position of Leader of the Opposition.,Jack Layton dies of cancer. Turmel assumes the position of Leader of the Opposition.,Jack Layton dies of cancer. Turmel assumes the position of Leader of the Opposition.
Abacus Data,"August 15, 2011",[357],38,32,19,5,6,±3.2 pp,1003,online,6
Angus Reid,"August 9, 2011",[358],39,31,19,6,4,±3.1 pp,1005,online,8
Nanos Research,"August 2, 2011",[359],36.2,26.8,27.0,4.4,4.5,±3.1 pp,1203,telephone,9.2
,"July 25, 2011","Jack Layton temporarily steps down as leader of the NDP, due to cancer. Turmel is chosen to act as NDP leader during the leave.","Jack Layton temporarily steps down as leader of the NDP, due to cancer. Turmel is chosen to act as NDP leader during the leave.","Jack Layton temporarily steps down as leader of the NDP, due to cancer. Turmel is chosen to act as NDP leader during the leave.","Jack Layton temporarily steps down as leader of the NDP, due to cancer. Turmel is chosen to act as NDP leader during the leave.","Jack Layton temporarily steps down as leader of the NDP, due to cancer. Turmel is chosen to act as NDP leader during the leave.","Jack Layton temporarily steps down as leader of the NDP, due to cancer. Turmel is chosen to act as NDP leader during the leave.","Jack Layton temporarily steps down as leader of the NDP, due to cancer. Turmel is chosen to act as NDP leader during the leave.","Jack Layton temporarily steps down as leader of the NDP, due to cancer. Turmel is chosen to act as NDP leader during the leave.","Jack Layton temporarily steps down as leader of the NDP, due to cancer. Turmel is chosen to act as NDP leader during the leave.","Jack Layton temporarily steps down as leader of the NDP, due to cancer. Turmel is chosen to act as NDP leader during the leave."
Abacus Data,"June 24, 2011",[360],41,32,17,6,5,±3.2 pp,1005,online,9
Nanos Research,"June 19, 2011",[361],41.8,28.0,22.3,3.4,3.7,±3.1 pp,1211,telephone,13.8
Nanos Research,"May 29, 2011",[362],39.7,29.9,21.5,2.7,4.8,±3.1 pp,1205,telephone,9.8
,"May 25, 2011","Michael Ignatieff resigns as leader of the Liberal Party, and Bob Rae is chosen as interim leader.","Michael Ignatieff resigns as leader of the Liberal Party, and Bob Rae is chosen as interim leader.","Michael Ignatieff resigns as leader of the Liberal Party, and Bob Rae is chosen as interim leader.","Michael Ignatieff resigns as leader of the Liberal Party, and Bob Rae is chosen as interim leader.","Michael Ignatieff resigns as leader of the Liberal Party, and Bob Rae is chosen as interim leader.","Michael Ignatieff resigns as leader of the Liberal Party, and Bob Rae is chosen as interim leader.","Michael Ignatieff resigns as leader of the Liberal Party, and Bob Rae is chosen as interim leader.","Michael Ignatieff resigns as leader of the Liberal Party, and Bob Rae is chosen as interim leader.","Michael Ignatieff resigns as leader of the Liberal Party, and Bob Rae is chosen as interim leader.","Michael Ignatieff resigns as leader of the Liberal Party, and Bob Rae is chosen as interim leader."
Harris-Decima,"May 22, 2011",[363],38,33,15,5,7,±2.2 pp,2000,telephone,5
Abacus Data,"May 19, 2011",[364],40,33,16,6,5,±2.5 pp,1544,online,7
,"May 4, 2011",Gilles Duceppe resigns as leader of the Bloc Québécois and Vivian Barbot is named as interim leader.,Gilles Duceppe resigns as leader of the Bloc Québécois and Vivian Barbot is named as interim leader.,Gilles Duceppe resigns as leader of the Bloc Québécois and Vivian Barbot is named as interim leader.,Gilles Duceppe resigns as leader of the Bloc Québécois and Vivian Barbot is named as interim leader.,Gilles Duceppe resigns as leader of the Bloc Québécois and Vivian Barbot is named as interim leader.,Gilles Duceppe resigns as leader of the Bloc Québécois and Vivian Barbot is named as interim leader.,Gilles Duceppe resigns as leader of the Bloc Québécois and Vivian Barbot is named as interim leader.,Gilles Duceppe resigns as leader of the Bloc Québécois and Vivian Barbot is named as interim leader.,Gilles Duceppe resigns as leader of the Bloc Québécois and Vivian Barbot is named as interim leader.,Gilles Duceppe resigns as leader of the Bloc Québécois and Vivian Barbot is named as interim leader.
,,,,,,,,,,,
2011 election,"May 2, 2011",[365],39.6,30.6,18.9,6.0,3.9,,,,9.0
