country,election_year,source_table,date_raw,marker_text,marker_relevance,marker_party_rows,national_overlap_parties,marker_mae,marker_max_abs_error,matched_parties
uk,2001,uk_2001_table8.csv,1 May 1997,1 May 1997 | 1997 general election[49],historical_other_year,4,3,8.126780263580448,14.196793724276692,CON|LAB|LIB
uk,2001,uk_2001_table8.csv,7 Jun 2001,7 Jun 2001 | 2001 general election[45],explicit_current_year,4,3,6.893446930247113,16.096793724276694,CON|LAB|LIB
uk,2001,uk_2001_table9.csv,1 May 1997,1 May 1997 | 1997 general election[49],historical_other_year,4,3,10.693446930247115,14.024924282398445,CON|LAB|LIB
uk,2001,uk_2001_table9.csv,7 Jun 2001,7 Jun 2001 | 2001 general election[45],explicit_current_year,4,3,7.693446930247114,10.696793724276692,CON|LAB|LIB
uk,2005,uk_2005_table1.csv,5 May 2005,5 May 2005 | 2005 general election,explicit_current_year,3,3,0.8355230397565604,1.0154437096279239,CON|LAB|LIB
uk,2005,uk_2005_table10.csv,5 May 2005,5 May 2005 | 2005 general election,explicit_current_year,4,3,15.176549866248395,20.861540239737757,CON|LAB|LIB
uk,2005,uk_2005_table10.csv,7 Jun 2001,7 Jun 2001 | 2001 general election,historical_other_year,3,3,2.90988319958173,4.252665649379512,CON|LAB|LIB
uk,2005,uk_2005_table5.csv,7 Jun 2001,7 Jun 2001 | 2001 general election,historical_other_year,3,3,3.467079273503552,6.815443709627921,CON|LAB|LIB
uk,2005,uk_2005_table7.csv,5 May 2005,5 May 2005 | 2005 general election,explicit_current_year,4,3,7.143216532915063,16.561540239737756,CON|LAB|LIB
uk,2005,uk_2005_table7.csv,7 Jun 2001,7 Jun 2001 | 2001 general election,historical_other_year,4,3,10.374772766662055,16.761540239737755,CON|LAB|LIB
uk,2005,uk_2005_table8.csv,5 May 2005,5 May 2005 | 2005 general election,explicit_current_year,4,3,7.3747727666620575,10.961540239737758,CON|LAB|LIB
uk,2005,uk_2005_table8.csv,7 Jun 2001,7 Jun 2001 | 2001 general election,historical_other_year,4,3,11.008106099995388,13.415443709627922,CON|LAB|LIB
uk,2005,uk_2005_table9.csv,5 May 2005,5 May 2005 | 2005 general election,explicit_current_year,3,3,9.725227233337945,12.384556290372078,CON|LAB|LIB
uk,2005,uk_2005_table9.csv,7 Jun 2001,7 Jun 2001 | 2001 general election,historical_other_year,3,3,8.058560566671277,9.15266564937951,CON|LAB|LIB
uk,2010,uk_2010_table1.csv,6 May 2010,6 May 2010 | 2010 general election,explicit_current_year,6,3,0.7093867730113862,0.8457128301765167,CON|LAB|LIB
uk,2010,uk_2010_table10.csv,5 May 2005,5 May 2005 | 2005 general election,historical_other_year,4,3,10.997098896899871,14.654287169823483,CON|LAB|LIB
uk,2010,uk_2010_table10.csv,6 May 2010,6 May 2010 | 2010 general election,explicit_current_year,4,3,6.697098896899868,9.95428716982348,CON|LAB|LIB
uk,2010,uk_2010_table11.csv,5 May 2005,5 May 2005 | 2005 general election,historical_other_year,3,3,8.363765563566535,11.009728504866882,CON|LAB|LIB
uk,2010,uk_2010_table11.csv,6 May 2010,6 May 2010 | 2010 general election,explicit_current_year,3,3,7.630432230233201,12.509728504866882,CON|LAB|LIB
uk,2010,uk_2010_table12.csv,5 May 2005,5 May 2005 | 2005 general election,historical_other_year,3,3,6.363765563566535,13.009728504866882,CON|LAB|LIB
uk,2010,uk_2010_table12.csv,6 May 2010,6 May 2010 | 2010 general election,explicit_current_year,3,3,7.127574117017545,8.22728101600924,CON|LAB|LIB
uk,2010,uk_2010_table13.csv,5 May 2005,5 May 2005 | 2005 general election,historical_other_year,3,3,7.66090745035088,13.009728504866882,CON|LAB|LIB
uk,2010,uk_2010_table13.csv,6 May 2010,6 May 2010 | 2010 general election,explicit_current_year,3,3,7.394240783684212,14.245712830176515,CON|LAB|LIB
