country,election_year,source_table,poll_party_rows,party_count,party_signature,marker_candidate_count,best_marker_date_raw,best_marker_relevance,national_overlap_parties,marker_mae,marker_max_abs_error,scope_status,scope_reason
uk,1997,uk_1997_table2.csv,249,3,CON|LAB|LD,1,1 May 1997,explicit_current_year,3,0.03137180071198742,0.04412217187569922,approved_marker_match,election marker closely matches national actual results
uk,1997,uk_1997_table10.csv,11,3,CON|LAB|LD,2,1 May 1997,explicit_current_year,3,26.998038467378652,37.70796614899999,rejected_marker_mismatch,election marker materially differs from national actual results
uk,1997,uk_1997_table8.csv,60,4,CON|LAB|LD|SNP,2,1 May 1997,explicit_current_year,3,6.4352948659546785,13.1558778281243,rejected_marker_mismatch,election marker materially differs from national actual results
uk,1997,uk_1997_table9.csv,12,3,CON|LAB|LD,2,1 May 1997,explicit_current_year,3,25.96470513404532,36.307966148999995,rejected_marker_mismatch,election marker materially differs from national actual results
uk,1997,uk_1997_table3.csv,207,3,CON|LAB|LD,0,,,0,,,review,no usable current-cycle election marker
uk,1997,uk_1997_table4.csv,153,3,CON|LAB|LD,0,,,0,,,review,no usable current-cycle election marker
uk,1997,uk_1997_table5.csv,156,3,CON|LAB|LD,0,,,0,,,review,no usable current-cycle election marker
uk,1997,uk_1997_table6.csv,138,3,CON|LAB|LD,0,,,0,,,review,no usable current-cycle election marker
uk,1997,uk_1997_table7.csv,135,3,CON|LAB|LD,1,,,0,,,review,no usable current-cycle election marker
uk,2001,uk_2001_table1.csv,174,3,CON|LAB|LD,1,7 Jun 2001,explicit_current_year,3,0.02316925801851492,0.0413772159337924,approved_marker_match,election marker closely matches national actual results
uk,2001,uk_2001_table8.csv,104,4,CON|LAB|LD|SNP,2,7 Jun 2001,explicit_current_year,3,6.893446930247113,16.096793724276694,rejected_marker_mismatch,election marker materially differs from national actual results
uk,2001,uk_2001_table9.csv,48,4,CON|LAB|LD|PC,2,7 Jun 2001,explicit_current_year,3,7.693446930247114,10.696793724276692,rejected_marker_mismatch,election marker materially differs from national actual results
uk,2001,uk_2001_table2.csv,183,3,CON|LAB|LD,0,,,0,,,review,no usable current-cycle election marker
uk,2001,uk_2001_table3.csv,120,3,CON|LAB|LD,0,,,0,,,review,no usable current-cycle election marker
uk,2001,uk_2001_table4.csv,120,3,CON|LAB|LD,0,,,0,,,review,no usable current-cycle election marker
uk,2001,uk_2001_table5.csv,60,3,CON|LAB|LD,1,,,0,,,review,no usable current-cycle election marker
uk,2005,uk_2005_table1.csv,288,3,CON|LAB|LD,1,5 May 2005,explicit_current_year,3,0.8355230397565604,1.0154437096279239,approved_marker_match,election marker closely matches national actual results
uk,2005,uk_2005_table10.csv,15,4,CON|LAB|LD|UKIP,2,5 May 2005,explicit_current_year,3,15.176549866248395,20.861540239737757,rejected_marker_mismatch,election marker materially differs from national actual results
uk,2005,uk_2005_table7.csv,168,4,CON|LAB|LD|SNP,2,5 May 2005,explicit_current_year,3,7.143216532915063,16.561540239737756,rejected_marker_mismatch,election marker materially differs from national actual results
uk,2005,uk_2005_table8.csv,20,4,CON|LAB|LD|PC,2,5 May 2005,explicit_current_year,3,7.3747727666620575,10.961540239737758,rejected_marker_mismatch,election marker materially differs from national actual results
uk,2005,uk_2005_table9.csv,15,3,CON|LAB|LD,2,5 May 2005,explicit_current_year,3,9.725227233337945,12.384556290372078,rejected_marker_mismatch,election marker materially differs from national actual results
uk,2005,uk_2005_table2.csv,216,3,CON|LAB|LD,0,,,0,,,review,no usable current-cycle election marker
uk,2005,uk_2005_table3.csv,222,3,CON|LAB|LD,0,,,0,,,review,no usable current-cycle election marker
uk,2005,uk_2005_table4.csv,165,3,CON|LAB|LD,0,,,0,,,review,no usable current-cycle election marker
uk,2005,uk_2005_table5.csv,45,3,CON|LAB|LD,1,,,0,,,review,no usable current-cycle election marker
uk,2010,uk_2010_table1.csv,877,6,BNP|CON|GRN|LAB|LD|UKIP,1,6 May 2010,explicit_current_year,3,0.7093867730113862,0.8457128301765167,approved_marker_match,election marker closely matches national actual results
uk,2010,uk_2010_table10.csv,48,4,CON|LAB|LD|PC,2,6 May 2010,explicit_current_year,3,6.697098896899868,9.95428716982348,rejected_marker_mismatch,election marker materially differs from national actual results
uk,2010,uk_2010_table11.csv,12,3,CON|LAB|LD,2,6 May 2010,explicit_current_year,3,7.630432230233201,12.509728504866882,rejected_marker_mismatch,election marker materially differs from national actual results
uk,2010,uk_2010_table12.csv,12,3,CON|LAB|LD,2,6 May 2010,explicit_current_year,3,7.127574117017545,8.22728101600924,rejected_marker_mismatch,election marker materially differs from national actual results
uk,2010,uk_2010_table13.csv,12,3,CON|LAB|LD,2,6 May 2010,explicit_current_year,3,7.394240783684212,14.245712830176515,rejected_marker_mismatch,election marker materially differs from national actual results
uk,2010,uk_2010_table14.csv,12,3,CON|LAB|LD,2,6 May 2010,explicit_current_year,3,6.127574117017546,6.427281016009239,rejected_marker_mismatch,election marker materially differs from national actual results
uk,2010,uk_2010_table16.csv,19,5,BGPV|CON|LAB|LD|PC,2,6 May 2010,explicit_current_year,3,21.79709889689987,29.054287169823482,rejected_marker_mismatch,election marker materially differs from national actual results
uk,2010,uk_2010_table17.csv,14,5,CON|GRN|LAB|LD|UKIP,2,6 May 2010,explicit_current_year,3,7.223946560321948,12.354287169823483,rejected_marker_mismatch,election marker materially differs from national actual results
uk,2010,uk_2010_table18.csv,18,3,CON|LAB|LD,2,6 May 2010,explicit_current_year,3,7.594240783684213,9.745712830176515,rejected_marker_mismatch,election marker materially differs from national actual results
uk,2010,uk_2010_table19.csv,20,4,CON|LAB|LD|SNP,2,6 May 2010,explicit_current_year,3,27.397098896899866,32.60972850486688,rejected_marker_mismatch,election marker materially differs from national actual results
uk,2010,uk_2010_table20.csv,16,5,BNP|CON|LAB|LD|SNP,2,6 May 2010,explicit_current_year,3,28.463765563566536,39.30972850486688,rejected_marker_mismatch,election marker materially differs from national actual results
uk,2010,uk_2010_table21.csv,16,4,CON|LAB|LD|SNP,2,6 May 2010,explicit_current_year,3,25.8304322302332,33.30972850486688,rejected_marker_mismatch,election marker materially differs from national actual results
uk,2010,uk_2010_table22.csv,20,5,CON|GRN|LAB|LD|UKIP,2,6 May 2010,explicit_current_year,3,3.894240783684213,4.72728101600924,rejected_marker_mismatch,election marker materially differs from national actual results
uk,2010,uk_2010_table9.csv,146,4,CON|LAB|LD|SNP,2,6 May 2010,explicit_current_year,3,12.163765563566535,19.354287169823483,rejected_marker_mismatch,election marker materially differs from national actual results
uk,2010,uk_2010_table15.csv,12,3,CON|LAB|LD,2,6 May 2010,explicit_current_year,3,2.3942407836842143,3.90972850486688,review,marker comparison is inconclusive
uk,2010,uk_2010_table2.csv,694,7,BNP|CON|GRN|LAB|LD|SNP|UKIP,0,,,0,,,review,no usable current-cycle election marker
uk,2010,uk_2010_table24.csv,11,3,CON|LAB|LD,0,,,0,,,review,no usable current-cycle election marker
uk,2010,uk_2010_table3.csv,312,3,CON|LAB|LD,0,,,0,,,review,no usable current-cycle election marker
uk,2010,uk_2010_table4.csv,270,3,CON|LAB|LD,0,,,0,,,review,no usable current-cycle election marker
uk,2010,uk_2010_table5.csv,204,3,CON|LAB|LD,0,,,0,,,review,no usable current-cycle election marker
uk,2010,uk_2010_table6.csv,105,3,CON|LAB|LD,1,,,0,,,review,no usable current-cycle election marker
uk,2015,uk_2015_table2.csv,1160,5,CON|GRN|LAB|LD|UKIP,1,7 May 2015,explicit_current_year,3,0.6569408825847208,0.9904884840064341,approved_marker_match,election marker closely matches national actual results
uk,2015,uk_2015_table3.csv,2395,5,CON|GRN|LAB|LD|UKIP,0,,,0,,,review,no usable current-cycle election marker
uk,2015,uk_2015_table4.csv,2040,5,CON|GRN|LAB|LD|UKIP,0,,,0,,,review,no usable current-cycle election marker
uk,2015,uk_2015_table5.csv,1680,5,CON|GRN|LAB|LD|UKIP,0,,,0,,,review,no usable current-cycle election marker
uk,2015,uk_2015_table6.csv,1600,5,CON|GRN|LAB|LD|UKIP,0,,,0,,,review,no usable current-cycle election marker
uk,2015,uk_2015_table7.csv,970,5,CON|GRN|LAB|LD|UKIP,1,,,0,,,review,no usable current-cycle election marker
uk,2017,uk_2017_table1.csv,691,6,CON|GRN|LAB|LD|SNP|UKIP,1,8 Jun 2017,explicit_current_year,3,0.8007142425965513,1.1555518376121583,approved_marker_match,election marker closely matches national actual results
